variant,benchmark,input_value,input_metric,component,size_lo_mb,size_mid_mb,size_hi_mb,units
32-reg,collatz,10000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,10000,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,10000,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,12500,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,12500,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,12500,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,15000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,15000,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,15000,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,17500,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,17500,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,17500,n,total,0.147000,0.147000,0.147000,MB
32-reg,collatz,20000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,20000,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,20000,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,25000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,25000,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,25000,n,total,0.154000,0.154000,0.154000,MB
32-reg,fibonacci,1,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,1,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,1,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,2,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,2,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,2,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,3,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,3,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,3,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,4,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,4,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,4,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,5,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,5,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,5,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,6,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,6,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,6,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,7,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,7,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,7,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,8,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,8,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,8,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,9,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,9,n,proof,0.102000,0.102000,0.102000,MB
32-reg,fibonacci,9,n,total,0.116000,0.116000,0.116000,MB
32-reg,fibonacci,10,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,10,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,10,n,total,0.122000,0.122000,0.122000,MB
32-reg,fibonacci,11,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,11,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,11,n,total,0.122000,0.122000,0.122000,MB
32-reg,fibonacci,12,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,12,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,12,n,total,0.122000,0.122000,0.122000,MB
32-reg,fibonacci,13,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,13,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,13,n,total,0.122000,0.122000,0.122000,MB
32-reg,fibonacci,14,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,14,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,14,n,total,0.122000,0.122000,0.122000,MB
32-reg,fibonacci,15,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,15,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,15,n,total,0.122000,0.122000,0.122000,MB
32-reg,fibonacci,16,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,fibonacci,16,n,proof,0.107000,0.107000,0.107000,MB
32-reg,fibonacci,16,n,total,0.122000,0.122000,0.122000,MB
